"quartile.25.","quartile.50.","quartile.75.","quartile.100.","mean","sd","bases","data","log.1.quartile.25.","log.1.quartile.50.","log.1.quartile.75.","log.1.quartile.100.","log.1.mean","log.1.sd","log.1.bases","log.1.data","log.quartile.75.","log.quartile.100.","log.mean","log.sd","log.bases","log.data","log.log.quartile.100.","log.log.mean","log.log.sd","log.log.bases","log.log.data"
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876",3,6,10,1218,10.40555898,26.304444,7044137,811776,1.386294361,1.945910149,2.397895273,7.105786129,2.434100866,3.307049473,15.76770634,13.60698095,2.302585093,7.104965448,2.34234018,3.269737898,15.7677062,13.60697972,1.960793899,0.851150507,1.184709828,2.757963937,2.610582876
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr14:19050000-107289540",2,4,7,1140,6.687896027,18.03872299,88239540,7244931,1.098612289,1.609437912,2.079441542,7.03966035,2.039647148,2.946474957,18.29556573,15.79581275,1.945910149,7.038783541,1.900299329,2.892520725,18.29556572,15.79581261,1.951435363,0.642011416,1.062128345,2.90665872,2.75974488
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr16:46510000-88389383",3,5,8,1102,8.009393572,20.66918004,41879383,3993542,1.386294361,1.791759469,2.197224577,7.005789019,2.198267763,3.075890976,17.55030424,15.20018936,2.079441542,7.00488199,2.080615049,3.028643704,17.55030421,15.20018911,1.946607333,0.732663547,1.108114897,2.865071284,2.72130787
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr1:206482221-223747846",2,4,7,1130,6.898984427,17.60403643,17265625,1450386,1.098612289,1.609437912,2.079441542,7.030857476,2.066734198,2.92337857,16.66422815,14.18734098,1.945910149,7.029972912,1.931374216,2.868128219,16.66422809,14.18734029,1.950182853,0.658231779,1.053659628,2.813264391,2.652350038
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr3:60000-66170270",2,5,7,1252,7.018925637,17.35026087,66110270,5740811,1.098612289,1.791759469,2.079441542,7.133295955,2.081804452,2.909643791,18.00683468,15.56311122,1.945910149,7.132497552,1.948610163,2.853607542,18.00683466,15.56311105,1.964661461,0.667116382,1.048583998,2.890751389,2.744903438
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chrX:37148256-49242997",2,4,7,666,6.243899973,13.05377051,12094741,986274,1.098612289,1.609437912,2.079441542,6.502790046,1.980159732,2.642890723,16.30828137,13.8016905,1.945910149,6.501289671,1.831604983,2.56907702,16.30828129,13.80168949,1.872000568,0.605192622,0.943546698,2.791673033,2.624791011
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr12:145739-7189876",1,3,5,944,5.308800496,17.45528212,7044137,444518,0.693147181,1.386294361,1.791759469,6.851184927,1.841945563,2.915350623,15.76770634,13.00474808,1.609437912,6.850126166,1.669365914,2.859642303,15.7677062,13.00474583,1.924267071,0.512443862,1.050696548,2.757963937,2.565314355
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr14:19050000-107289540",1,2,4,1001,3.754228456,13.32654799,88239540,4257591,0.693147181,1.098612289,1.609437912,6.909753282,1.559034423,2.662114319,18.29556573,15.2642143,1.386294361,6.908754779,1.322882793,2.589758135,18.29556572,15.26421407,1.932789416,0.279813289,0.951564487,2.90665872,2.725511139
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr16:46510000-88389383",1,2,4,823,4.297248983,14.38093462,41879383,2260752,0.693147181,1.098612289,1.609437912,6.71417053,1.667187626,2.733128731,17.55030424,14.6312085,1.386294361,6.712956201,1.457975047,2.665903345,17.55030421,14.63120806,1.90403942,0.377048519,0.980542966,2.865071284,2.683156786
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr1:206482221-223747846",1,2,4,732,3.951272717,12.71435937,17265625,867617,0.693147181,1.098612289,1.609437912,6.597145702,1.599644658,2.618443413,16.66422815,13.6735068,1.386294361,6.595780514,1.374037734,2.542732014,16.66422809,13.67350565,1.886430129,0.317753656,0.933239099,2.813264391,2.615460066
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chrX:37148256-49242997",1,2,4,462,3.258465229,9.306601421,12094741,537828,0.693147181,1.098612289,1.609437912,6.137727054,1.44890882,2.332784605,16.30828137,13.19529594,1.386294361,6.135564891,1.181256296,2.230723979,16.30828129,13.19529409,1.814102151,0.16657853,0.802326187,2.791673033,2.579860257
