sequenceID,fold
100_chr1,4
100_chr11,4
100_chr17,4
100_chr2,4
100_chr3,4
100_chr4,4
101_chr1,4
101_chr11,4
101_chr17,4
101_chr2,4
101_chr3,4
101_chr4,4
102_chr1,6
102_chr11,6
102_chr17,6
102_chr2,6
102_chr3,6
102_chr4,6
103_chr1,6
103_chr11,6
103_chr17,6
103_chr2,6
103_chr22,6
103_chr3,6
103_chr4,6
103_chrX,6
104_chr1,5
104_chr11,5
104_chr17,5
104_chr2,5
104_chr3,5
104_chr4,5
105_chr1,5
105_chr11,5
105_chr17,5
105_chr2,5
105_chr3,5
105_chr4,5
106_chr1,4
106_chr11,4
106_chr14,4
106_chr16,4
106_chr17,4
106_chr3,4
106_chr4,4
106_chr5,4
106_chr6,4
106_chr8,4
106_chr9,4
107_chr1,5
107_chr11,5
107_chr17,5
107_chr2,5
107_chr3,5
107_chr4,5
108_chr1,4
108_chr11,4
108_chr17,4
108_chr2,4
108_chr3,4
108_chr4,4
109_chr1,5
109_chr11,5
109_chr17,5
109_chr2,5
109_chr3,5
109_chr4,5
109_chr8,5
10_chr1,5
10_chr11,5
10_chr17,5
10_chr2,5
10_chr3,5
10_chr4,5
110_chr1,6
110_chr11,6
110_chr17,6
110_chr2,6
110_chr3,6
110_chr4,6
111_chr1,6
111_chr11,6
111_chr17,6
111_chr2,6
111_chr3,6
111_chr4,6
112_chr1,4
112_chr11,4
112_chr17,4
112_chr2,4
112_chr3,4
112_chr4,4
113_chr1,4
113_chr10,4
113_chr11,4
113_chr13,4
113_chr17,4
113_chr2,4
113_chr3,4
113_chr4,4
113_chr6,4
113_chr7,4
113_chr9,4
114_chr1,5
114_chr11,5
114_chr17,5
114_chr2,5
114_chr3,5
114_chr4,5
115_chr1,5
115_chr11,5
115_chr17,5
115_chr2,5
115_chr3,5
115_chr4,5
116_chr1,6
116_chr11,6
116_chr14,6
116_chr17,6
116_chr2,6
116_chr3,6
116_chr4,6
116_chrX,6
117_chr1,4
117_chr11,4
117_chr17,4
117_chr2,4
117_chr3,4
117_chr4,4
118_chr1,4
118_chr11,4
118_chr17,4
118_chr3,4
118_chr4,4
119_chr1,5
119_chr11,5
119_chr17,5
119_chr2,5
119_chr3,5
119_chr4,5
11_chr1,5
11_chr11,5
11_chr14,5
11_chr16,5
11_chr17,5
11_chr2,5
11_chr21,5
11_chr3,5
11_chr4,5
11_chr7,5
11_chr9,5
120_chr1,6
120_chr11,6
120_chr17,6
120_chr2,6
120_chr3,6
120_chr4,6
121_chr1,4
121_chr11,4
121_chr17,4
121_chr2,4
121_chr3,4
121_chr4,4
