sequenceID,min.log.lambda,max.log.lambda
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr10:60000-17974675,7.92341162544313,8.87837664152969
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr11:96437584-134946516,9.41560771006298,9.54648364664954
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr12:38150000-66400000,9.21292354318638,11.3873188325642
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr18:18521000-52059136,8.76804065714712,10.9643261514798
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr1:17175658-29878082,7.84163876525855,7.96627959720717
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr1:30028082-91800000,8.91092776424806,9.86937560826979
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr2:21178113-33000000,9.34887365073952,11.6456224270611
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr2:33200000-87000000,8.96209672472496,10.5930290445474
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr2:5118788-16279724,10.2231752361956,11.2984207612108
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr2:95326171-109668000,6.73631766826783,10.1348902676744
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr3:93504854-194041961,9.98760100802282,10.5902518320228
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr4:32840638-40296396,11.0950679776568,11.5750196821641
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr4:68270000-75427379,9.05625764617063,9.21327183251488
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr4:9324642-31820917,8.40035837026639,8.51397846705429
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:60000-17974675,7.31519118120773,7.48467669149924
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,9.90930750637026,9.93340736046066
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr12:38150000-66400000,8.05610062607227,11.2510526463243
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr18:18521000-52059136,7.37297568869797,10.1825223821901
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr1:17175658-29878082,7.24411687227429,7.9032767217773
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr1:30028082-91800000,9.77072039053023,10.4022276257717
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr2:21178113-33000000,7.79890787857667,8.19217618225998
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr2:33200000-87000000,9.67592987661637,10.2364760544637
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr2:5118788-16279724,9.01776982772901,11.502328656174
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr2:95326171-109668000,7.50998474627353,9.20462580660591
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr3:93504854-194041961,10.3365480336913,10.3646054663737
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr4:32840638-40296396,8.95405522211383,10.4427089347892
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr4:68270000-75427379,7.99704379389016,8.43434596316975
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr4:9324642-31820917,7.61365507874547,8.35038529896784
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:60000-17974675,8.00279765126877,9.15841573642509
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516,8.83195654744742,9.12891413906616
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr12:38150000-66400000,7.91658485216456,10.1831798591993
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr18:18521000-52059136,8.31113329269347,10.7362260269343
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr1:17175658-29878082,7.88224326409869,8.53958203663665
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr1:30028082-91800000,8.14719574116741,9.95482169724392
