sequenceID,fold
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/bcell/ERS257253/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/bcell/ERS257253/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/bcell/ERS257253/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/bcell/ERS257253/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/bcell/ERS257253/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/bcell/ERS257253/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/burkitt/ERS333897/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/burkitt/ERS333897/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/burkitt/ERS333897/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/burkitt/ERS333897/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/burkitt/ERS333897/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/burkitt/ERS333897/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/burkitt/ERS333899/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/burkitt/ERS333899/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/burkitt/ERS333899/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/burkitt/ERS333899/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/burkitt/ERS333899/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/burkitt/ERS333899/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/eosinophil/ERS257387/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/eosinophil/ERS257387/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/eosinophil/ERS257387/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/eosinophil/ERS257387/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/eosinophil/ERS257387/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/eosinophil/ERS257387/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/eosinophil/ERS358684/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/eosinophil/ERS358684/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/eosinophil/ERS358684/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/eosinophil/ERS358684/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/eosinophil/ERS358684/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/eosinophil/ERS358684/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/germinal/ERS333900/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/germinal/ERS333900/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/germinal/ERS333900/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/germinal/ERS333900/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/germinal/ERS333900/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/germinal/ERS333900/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/germinal/ERS333901/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/germinal/ERS333901/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/germinal/ERS333901/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/germinal/ERS333901/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/germinal/ERS333901/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/germinal/ERS333901/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/macrophage/ERS257336/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/macrophage/ERS257336/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/macrophage/ERS257336/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/macrophage/ERS257336/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/macrophage/ERS257336/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/macrophage/ERS257336/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/macrophage/ERS257378/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/macrophage/ERS257378/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/macrophage/ERS257378/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/macrophage/ERS257378/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/macrophage/ERS257378/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/macrophage/ERS257378/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/macrophage/ERS358691/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/macrophage/ERS358691/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/macrophage/ERS358691/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/macrophage/ERS358691/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/macrophage/ERS358691/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/macrophage/ERS358691/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/macrophage/ERS358696/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/macrophage/ERS358696/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/macrophage/ERS358696/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/macrophage/ERS358696/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/macrophage/ERS358696/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/macrophage/ERS358696/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/macrophage/ERS422247/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/macrophage/ERS422247/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/macrophage/ERS422247/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/macrophage/ERS422247/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/macrophage/ERS422247/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/macrophage/ERS422247/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/mantle/ERS333895/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/mantle/ERS333895/problems/chr4:75452279-190000000,2
