sequenceID,min.log.lambda,max.log.lambda
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr1:149509645-205922707,10.6893737236933,11.4886440752882
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr2:162200000-234003741,10.721156388917,11.7312777958661
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr2:16329724-21153113,10.3390842665734,13.0337495128996
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr3:60000-66170270,10.3143962897696,Inf
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr4:75452279-190000000,10.8207029722446,11.7105844359637
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr5:91686128-138787073,9.86398999839385,11.1757933951021
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr1:149509645-205922707,10.1470096438648,11.1701948804439
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr2:162200000-234003741,10.2583670477321,10.615163508303
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr2:16329724-21153113,10.6481368984171,12.475120155511
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr3:60000-66170270,10.4986178438255,Inf
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr4:75452279-190000000,10.3234748282907,11.089325625958
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr5:91686128-138787073,10.3512426157477,10.4420328024847
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr1:149509645-205922707,10.6081046923999,13.6585475559564
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr2:162200000-234003741,9.80636074406424,10.992319987839
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr2:16329724-21153113,11.825487697532,Inf
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr3:60000-66170270,10.1085305652901,Inf
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr4:75452279-190000000,9.91844311641006,10.5371147612268
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr5:91686128-138787073,10.1199965058685,12.4994756701303
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr1:149509645-205922707,11.4295359618313,14.3166635335046
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr2:162200000-234003741,10.7833331255983,11.5931096368541
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr2:16329724-21153113,10.4478918652978,Inf
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr3:60000-66170270,10.0151030213575,Inf
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr4:75452279-190000000,10.5721915211813,11.6810761030821
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr5:91686128-138787073,10.0613484785586,14.2539026226469
H3K4me1_TDH_BP/samples/germinal/ERS333900/problems/chr1:149509645-205922707,11.7782358481209,14.9228953576125
H3K4me1_TDH_BP/samples/germinal/ERS333900/problems/chr2:162200000-234003741,11.5070946492135,13.8239380972337
H3K4me1_TDH_BP/samples/germinal/ERS333900/problems/chr2:16329724-21153113,10.3532698725351,10.8940432225322
H3K4me1_TDH_BP/samples/germinal/ERS333900/problems/chr3:60000-66170270,10.1541260114254,Inf
H3K4me1_TDH_BP/samples/germinal/ERS333900/problems/chr4:75452279-190000000,10.881654895697,12.3193795477855
H3K4me1_TDH_BP/samples/germinal/ERS333900/problems/chr5:91686128-138787073,11.0339046600056,13.2738874815336
H3K4me1_TDH_BP/samples/germinal/ERS333901/problems/chr1:149509645-205922707,11.7987282856049,14.310451274488
H3K4me1_TDH_BP/samples/germinal/ERS333901/problems/chr2:162200000-234003741,10.8908575926115,14.0091092207594
H3K4me1_TDH_BP/samples/germinal/ERS333901/problems/chr2:16329724-21153113,9.60199288569358,10.3112232335745
H3K4me1_TDH_BP/samples/germinal/ERS333901/problems/chr3:60000-66170270,10.1355330526085,Inf
H3K4me1_TDH_BP/samples/germinal/ERS333901/problems/chr4:75452279-190000000,9.75468422738977,11.3078252607056
H3K4me1_TDH_BP/samples/germinal/ERS333901/problems/chr5:91686128-138787073,10.8352645673154,13.0024246770736
H3K4me1_TDH_BP/samples/leukemia/ERS466414/problems/chr1:149509645-205922707,11.353267910222,12.7691215284431
H3K4me1_TDH_BP/samples/leukemia/ERS466414/problems/chr2:162200000-234003741,10.3951838663614,12.0881676873978
H3K4me1_TDH_BP/samples/leukemia/ERS466414/problems/chr2:16329724-21153113,11.0591090238459,13.6463861724132
H3K4me1_TDH_BP/samples/leukemia/ERS466414/problems/chr3:60000-66170270,10.3563296811035,Inf
H3K4me1_TDH_BP/samples/leukemia/ERS466414/problems/chr4:75452279-190000000,10.2514221274314,10.7271147627701
