sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr1:149509645-205922707,0,0,6,13,1114,10.8321408080987,17.955355911898,56413062,3598844,0,0,1.94591014905531,2.63905732961526,7.01660968389422,2.47081962595454,2.94208652546825,17.8482113031252,15.096123518615,-Inf,-Inf,1.79175946922805,2.56494935746154,7.01571242048723,2.38251771535599,2.88788844992091,17.8482112853988,15.096123240748,,,0.583198080782659,0.941938734748111,1.94815226513163,0.868157792134939,1.06052559491095,2.88190329510357,2.71443797183446
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr2:162200000-234003741,0,0,5,11,403,9.12179426695888,14.1123474681881,71803741,4128132,0,0,1.79175946922805,2.484906649788,6.00141487796115,2.3146909472503,2.71551212280068,18.0894471496521,15.2333358046168,-Inf,-Inf,1.6094379124341,2.39789527279837,5.99893656194668,2.21066652453363,2.64705012114017,18.0894471357252,15.2333355623765,,,0.475884995327111,0.874591382923689,1.79158221384369,0.793294064870684,0.973445858139432,2.89532873706761,2.72348615555872
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr2:16329724-21153113,0,0,5,11,215,9.26043182500934,14.6670472569727,4823389,276177,0,0,1.79175946922805,2.484906649788,5.37527840768417,2.32829492706448,2.75155960574513,15.3889875583156,12.5288008643591,-Inf,-Inf,1.6094379124341,2.39789527279837,5.37063802812766,2.22575068094113,2.68560329425252,15.3889873509925,12.5287972434994,,,0.475884995327111,0.874591382923689,1.68094671489461,0.800094243409427,0.987905393318518,2.73365214653015,2.52802977415692
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr3:60000-66170270,0,1,5,13,246,10.4558176664533,16.8190806201725,66110270,4133809,0,0.693147180559945,1.79175946922805,2.63905732961526,5.50938833662798,2.43849769410466,2.88026982812881,18.0068346785299,15.2347100578387,-Inf,0,1.6094379124341,2.56494935746154,5.50533153593236,2.34715853799594,2.8225139931325,18.0068346634037,15.234709815931,,-Inf,0.475884995327111,0.941938734748111,1.70571699287209,0.853205463797571,1.03762797473798,2.89075138934945,2.72357636505778
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr4:75452279-190000000,0,0,5,10,223,8.06088952219311,11.892965394377,114547721,6071715,0,0,1.79175946922805,2.39789527279837,5.41164605185504,2.20396729649294,2.55668184436219,18.5565020801536,15.6191518248952,-Inf,-Inf,1.6094379124341,2.30258509299405,5.40717177146012,2.08702391298401,2.47594708199371,18.5565020714236,15.6191516601971,,,0.475884995327111,0.834032445247956,1.68772617824372,0.735739086095551,0.906622982216618,2.92082024361678,2.74849783180969
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr5:91686128-138787073,0,0,5,11,264,8.90025928354516,14.0193997805561,47100945,2638729,0,0,1.79175946922805,2.484906649788,5.57972982598622,2.29256094705467,2.70934268418972,17.6678036437106,14.7858082987697,-Inf,-Inf,1.6094379124341,2.39789527279837,5.57594910314632,2.18608040929634,2.64044206903209,17.6678036224796,14.7858079197994,,,0.475884995327111,0.874591382923689,1.71846254557336,0.782110172836459,0.970946353530916,2.87174397880267,2.69366779637012
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr1:149509645-205922707,0,4,7,14,923,10.5423702936033,12.3962435282077,56413062,4154715,0,1.6094379124341,2.07944154167984,2.70805020110221,6.82871207164168,2.44602463804787,2.59497433394018,17.8482113031252,15.2397546325517,-Inf,1.38629436111989,1.94591014905531,2.63905732961526,6.82762923450285,2.35540240337136,2.51739348544144,17.8482112853988,15.2397543918614,,0.326634259978281,0.665729810578276,0.970421781277365,1.92097750271135,0.856711584791336,0.92322403505967,2.88190329510357,2.72390743410904
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr2:162200000-234003741,0,4,7,13,381,9.8015273187507,10.3043645658507,71803741,5086106,0,1.6094379124341,2.07944154167984,2.63905732961526,5.94542060860658,2.37968754253438,2.42518889591053,18.0894471496521,15.4420232628868,-Inf,1.38629436111989,1.94591014905531,2.56494935746154,5.9427993751267,2.28253822238547,2.33256754973869,18.0894471357252,15.4420230662728,,0.326634259978281,0.665729810578276,0.941938734748111,1.78218029763309,0.82528807918926,0.846969613550974,2.89532873706761,2.7370925636216
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr2:16329724-21153113,0,4,7,12,178,9.23347007674479,10.008899412275,4823389,322174,0,1.6094379124341,2.07944154167984,2.56494935746154,5.18738580584075,2.32566372838411,2.3987039831835,15.3889875583156,12.6828501551566,-Inf,1.38629436111989,1.94591014905531,2.484906649788,5.18178355029209,2.22283493417127,2.30347463845864,15.3889873509925,12.6828470512486,,0.326634259978281,0.665729810578276,0.910235093365326,1.64514931173688,0.798783378590967,0.834418695330462,2.73365214653015,2.54025045466137
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr3:60000-66170270,0,4,7,13,200,10.2137953755143,11.4307158066734,66110270,4777095,0,1.6094379124341,2.07944154167984,2.63905732961526,5.30330490805908,2.41714475030067,2.52017049088574,18.0068346785299,15.3793433884649,-Inf,1.38629436111989,1.94591014905531,2.56494935746154,5.29831736654804,2.32373929429796,2.4363041011016,18.0068346634037,15.3793431791327,,0.326634259978281,0.665729810578276,0.941938734748111,1.66738929214146,0.84317765296295,0.890482178304861,2.89075138934945,2.73302525699734
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr4:75452279-190000000,0,4,7,12,205,9.18881526241801,9.002686554833,114547721,7788070,0,1.6094379124341,2.07944154167984,2.56494935746154,5.32787616878958,2.32129057574701,2.30285371239592,18.5565020801536,15.8681037620223,-Inf,1.38629436111989,1.94591014905531,2.484906649788,5.32300997913841,2.21798701210706,2.1975230388847,18.5565020714236,15.8681036336208,,0.326634259978281,0.665729810578276,0.910235093365326,1.67203892890959,0.79660003323342,0.787330834656342,2.92082024361678,2.76431103361266
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr5:91686128-138787073,0,4,7,13,182,9.6334382463027,10.1007521488261,47100945,3282901,0,1.6094379124341,2.07944154167984,2.63905732961526,5.20948615284142,2.36400358749747,2.40701286717811,17.6678036437106,15.0042383452919,-Inf,1.38629436111989,1.94591014905531,2.56494935746154,5.2040066870768,2.26524019701063,2.31260989125525,17.6678036224796,15.0042380406833,,0.326634259978281,0.665729810578276,0.941938734748111,1.64942884563729,0.817680800557698,0.83837670981819,2.87174397880267,2.70833269724197
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr1:149509645-205922707,0,4,9,14,329,12.9899801574323,18.6532671528368,56413062,4338037,0,1.6094379124341,2.30258509299405,2.70805020110221,5.79909265446053,2.63834137033702,2.97824359181433,17.8482113031252,15.2829327301277,-Inf,1.38629436111989,2.19722457733622,2.63905732961526,5.79605775076537,2.56417830315496,2.92602131320491,17.8482112853988,15.2829324996087,,0.326634259978281,0.787195008176644,0.970421781277365,1.75717798830896,0.941638077652635,1.0736435866469,2.88190329510357,2.72673668283823
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr2:162200000-234003741,0,3,7,12,218,9.33404816609764,11.5236351920486,71803741,4457410,0,1.38629436111989,2.07944154167984,2.56494935746154,5.3890717298165,2.33544409078868,2.52761767433092,18.0894471496521,15.3100786621713,-Inf,1.09861228866811,1.94591014905531,2.484906649788,5.38449506278909,2.23366880779904,2.44440016035611,18.0894471357252,15.3100784378257,,0.0940478276166991,0.665729810578276,0.910235093365326,1.68352353885613,0.803645438895381,0.893799759640041,2.89532873706761,2.72851133296318
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr2:16329724-21153113,0,3,7,10,188,8.77308216276979,11.086225186296,4823389,281123,0,1.38629436111989,2.07944154167984,2.39789527279837,5.24174701505964,2.27963188843993,2.49206638976116,15.3889875583156,12.5465511321188,-Inf,1.09861228866811,1.94591014905531,2.30258509299405,5.23644196282995,2.17168818851557,2.40570336346459,15.3889873509925,12.5465475749633,,0.0940478276166991,0.665729810578276,0.834032445247956,1.65564225297093,0.77550483215072,0.877842319621017,2.73365214653015,2.52944553410418
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr3:60000-66170270,0,3,7,12,244,10.249212444602,14.1501844604013,66110270,4289489,0,1.38629436111989,2.07944154167984,2.56494935746154,5.50125821054473,2.42029812127571,2.71801270748531,18.0068346785299,15.2716784027184,-Inf,1.09861228866811,1.94591014905531,2.484906649788,5.4971682252932,2.32720086795951,2.64972766007504,18.0068346634037,15.2716781695904,,0.0940478276166991,0.665729810578276,0.910235093365326,1.70423309151981,0.844666201161792,0.974456864933953,2.89075138934945,2.72600001296872
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr4:75452279-190000000,0,3,7,10,242,8.42662134674858,10.1478153781997,114547721,6617764,0,1.38629436111989,2.07944154167984,2.39789527279837,5.49306144334055,2.24353774471949,2.41124354850299,18.5565020801536,15.7052682576159,-Inf,1.09861228866811,1.94591014905531,2.30258509299405,5.48893772615669,2.13139590244125,2.3172584486468,18.5565020714236,15.7052681065075,,0.0940478276166991,0.665729810578276,0.834032445247956,1.70273474429601,0.756777118329965,0.840384783747003,2.92082024361678,2.75399620425575
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr5:91686128-138787073,0,3,7,11,240,9.02549377724799,11.5322821250595,47100945,2834448,0,1.38629436111989,2.07944154167984,2.484906649788,5.48479693349065,2.30513122656799,2.52830788520963,17.6678036437106,14.8573581199933,-Inf,1.09861228866811,1.94591014905531,2.39789527279837,5.48063892334199,2.20005321488273,2.44515024401553,17.6678036224796,14.857357767191,,0.0940478276166991,0.665729810578276,0.874591382923689,1.70122168601435,0.788481548654791,0.894106570533998,2.87174397880267,2.69849521508084
