sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,-Inf,1.99947800151456,2,2,1,0,2,2
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,1.99947800151456,5.98719539505169,2,2,1,0,2,2
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,5.98719539505169,7.45345720758797,2,2,1,0,2,2
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,7.45345720758797,8.02703980713698,2,1,1,0,2,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,8.02703980713698,8.52681006799169,2,1,1,0,2,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,8.52681006799169,8.81034552811661,2,1,1,0,2,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,8.81034552811661,8.88463648818035,2,1,1,0,2,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,8.88463648818035,8.89442750783264,2,1,1,0,2,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,8.89442750783264,8.89908670914608,2,1,1,0,2,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,8.89908670914608,8.89998472881503,2,0,1,0,2,0
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,8.89998472881503,8.90178403654178,2,0,1,0,2,0
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,8.90178403654178,8.91729714488695,2,0,1,0,2,0
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,8.91729714488695,8.9826275474336,2,0,1,0,2,0
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,8.9826275474336,9.19414205325149,2,0,1,0,2,0
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,9.19414205325149,9.83340312604325,2,0,1,0,2,0
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,9.83340312604325,10.8188661047675,2,0,1,0,2,0
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,10.8188661047675,11.2790093013124,2,0,1,0,2,0
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,11.2790093013124,11.4767818290798,2,0,1,0,2,0
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,11.4767818290798,11.5685344974224,2,0,1,0,2,0
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,11.5685344974224,12.482207579331,2,0,1,1,2,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,12.482207579331,Inf,2,0,1,1,2,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:75452279-190000000,-Inf,1.93668882249211,7,7,4,0,7,7
