sequenceID,fold
100_chr1,1
100_chr11,1
100_chr17,5
100_chr2,4
100_chr3,3
100_chr4,6
101_chr1,4
101_chr11,2
101_chr17,5
101_chr2,3
101_chr3,2
101_chr4,5
102_chr1,4
102_chr11,5
102_chr17,1
102_chr2,1
102_chr3,2
102_chr4,4
103_chr1,6
103_chr11,3
103_chr17,1
103_chr2,4
103_chr3,1
103_chr4,6
104_chr1,1
104_chr11,5
104_chr17,3
104_chr2,1
104_chr3,2
104_chr4,2
105_chr1,3
105_chr11,3
105_chr17,2
105_chr2,3
105_chr3,5
105_chr4,1
106_chr1,3
106_chr11,2
106_chr17,2
106_chr2,1
106_chr3,4
106_chr4,5
107_chr1,2
107_chr11,1
107_chr17,6
107_chr2,1
107_chr3,2
107_chr4,3
108_chr1,4
108_chr11,1
108_chr17,1
108_chr2,3
108_chr3,2
108_chr4,4
109_chr1,4
109_chr11,4
109_chr17,6
109_chr2,5
109_chr3,5
109_chr4,4
10_chr1,6
10_chr11,2
10_chr17,4
10_chr2,1
10_chr3,4
10_chr4,4
110_chr1,3
110_chr11,5
110_chr17,5
110_chr2,1
110_chr3,3
110_chr4,5
111_chr1,5
111_chr11,2
111_chr17,6
111_chr2,3
111_chr3,2
111_chr4,3
112_chr1,4
112_chr11,3
112_chr17,1
112_chr2,4
112_chr3,3
112_chr4,4
113_chr1,5
113_chr11,3
113_chr17,6
113_chr2,2
113_chr3,5
113_chr4,4
114_chr1,6
114_chr11,1
114_chr17,3
114_chr2,1
114_chr3,6
114_chr4,4
115_chr1,5
115_chr11,3
115_chr17,3
115_chr2,2
115_chr3,4
115_chr4,3
116_chr1,6
116_chr11,2
116_chr17,1
116_chr2,4
116_chr3,6
116_chr4,4
117_chr1,5
117_chr11,6
117_chr17,6
117_chr2,1
117_chr3,5
117_chr4,1
118_chr1,5
118_chr11,6
118_chr17,6
118_chr3,2
118_chr4,3
119_chr1,6
119_chr11,2
119_chr17,4
119_chr2,6
119_chr3,3
119_chr4,6
11_chr1,4
11_chr11,3
11_chr17,6
11_chr2,2
11_chr3,3
11_chr4,2
120_chr1,4
120_chr11,5
120_chr17,1
120_chr2,5
120_chr3,5
120_chr4,6
121_chr1,4
121_chr11,5
121_chr17,1
121_chr2,6
121_chr3,3
121_chr4,3
122_chr1,6
122_chr11,5
122_chr17,6
122_chr2,2
122_chr3,1
122_chr4,3
123_chr1,2
123_chr11,3
123_chr17,6
123_chr2,2
123_chr3,6
123_chr4,6
124_chr1,4
124_chr11,6
124_chr17,6
124_chr2,6
124_chr3,5
124_chr4,2
125_chr1,5
125_chr11,1
125_chr17,1
125_chr2,3
125_chr3,2
125_chr4,1
126_chr1,5
126_chr11,6
126_chr17,6
126_chr2,1
126_chr3,1
126_chr4,6
127_chr1,6
127_chr11,3
127_chr17,6
127_chr2,3
127_chr3,5
127_chr4,5
128_chr1,2
128_chr11,1
128_chr17,2
128_chr2,4
128_chr3,4
128_chr4,5
129_chr1,4
129_chr11,6
129_chr17,5
129_chr2,6
129_chr3,4
129_chr4,6
12_chr1,5
12_chr11,2
12_chr17,5
12_chr2,2
12_chr3,3
12_chr4,4
130_chr1,3
130_chr11,4
130_chr17,1
130_chr2,4
130_chr3,5
130_chr4,5
131_chr1,5
131_chr11,6
131_chr17,6
131_chr2,3
131_chr3,5
131_chr4,5
132_chr1,1
132_chr11,5
132_chr17,2
132_chr2,3
132_chr3,4
132_chr4,1
133_chr1,4
133_chr11,5
133_chr2,2
133_chr3,5
133_chr4,5
134_chr1,6
134_chr11,1
134_chr17,2
134_chr2,1
134_chr3,4
134_chr4,3
135_chr1,1
135_chr11,3
135_chr17,3
135_chr2,2
135_chr3,1
135_chr4,3
136_chr1,1
136_chr11,4
136_chr17,1
136_chr2,5
136_chr3,5
136_chr4,1
137_chr1,5
137_chr11,1
137_chr17,3
137_chr2,5
137_chr3,3
137_chr4,1
138_chr1,1
138_chr11,1
138_chr17,4
138_chr2,3
138_chr3,6
138_chr4,4
139_chr1,2
139_chr11,6
139_chr17,3
139_chr2,2
139_chr3,5
139_chr4,1
13_chr1,4
13_chr11,1
13_chr17,4
13_chr2,4
13_chr3,1
13_chr4,4
140_chr1,3
140_chr11,3
140_chr17,1
140_chr2,1
140_chr3,6
140_chr4,3
141_chr1,2
141_chr11,2
141_chr17,2
141_chr2,3
141_chr3,6
141_chr4,3
142_chr1,4
142_chr11,4
142_chr17,5
142_chr2,4
142_chr3,5
142_chr4,4
143_chr1,1
143_chr11,2
143_chr17,3
143_chr2,6
143_chr3,1
143_chr4,2
144_chr1,4
144_chr11,3
144_chr17,5
144_chr2,2
144_chr3,5
144_chr4,3
145_chr1,3
145_chr11,5
145_chr17,5
145_chr2,3
145_chr3,1
145_chr4,5
146_chr1,3
146_chr11,5
146_chr17,6
146_chr2,6
146_chr3,6
146_chr4,5
147_chr11,6
147_chr17,4
147_chr2,5
147_chr3,5
147_chr4,5
148_chr1,5
148_chr11,6
148_chr17,4
148_chr2,3
148_chr3,3
148_chr4,4
149_chr1,6
149_chr11,3
149_chr17,4
149_chr2,1
149_chr3,5
149_chr4,3
14_chr11,6
14_chr17,3
14_chr2,5
14_chr3,3
14_chr4,2
150_chr1,2
150_chr11,3
150_chr17,4
150_chr2,1
150_chr3,5
150_chr4,4
151_chr1,4
151_chr11,6
151_chr17,3
151_chr2,5
151_chr3,4
151_chr4,5
152_chr1,5
152_chr11,2
152_chr17,6
152_chr2,5
152_chr3,3
152_chr4,4
153_chr1,2
153_chr11,5
153_chr17,3
153_chr2,2
153_chr3,6
153_chr4,6
154_chr1,3
154_chr11,3
154_chr17,1
154_chr2,2
154_chr3,5
154_chr4,6
155_chr1,1
155_chr11,5
155_chr17,1
155_chr2,3
155_chr3,3
155_chr4,5
156_chr1,5
156_chr11,2
156_chr17,5
156_chr2,3
156_chr3,6
156_chr4,5
157_chr1,3
157_chr11,2
157_chr17,4
157_chr2,1
157_chr3,2
157_chr4,4
158_chr1,2
158_chr11,6
158_chr17,5
158_chr2,6
158_chr3,1
158_chr4,2
159_chr1,5
159_chr11,5
159_chr17,2
159_chr2,1
159_chr3,2
159_chr4,3
15_chr1,1
15_chr11,1
15_chr17,3
15_chr2,1
15_chr3,5
15_chr4,1
160_chr1,3
160_chr11,2
160_chr17,5
160_chr2,1
160_chr3,6
160_chr4,2
161_chr1,4
161_chr17,5
161_chr2,2
161_chr3,4
161_chr4,4
162_chr1,4
162_chr11,1
162_chr17,4
162_chr2,6
162_chr3,3
162_chr4,1
163_chr1,5
163_chr11,1
163_chr17,5
163_chr2,5
163_chr3,5
163_chr4,2
164_chr1,2
164_chr11,5
164_chr17,6
164_chr2,3
164_chr3,1
164_chr4,6
165_chr1,4
165_chr11,4
165_chr17,1
165_chr2,2
165_chr3,1
165_chr4,2
166_chr1,3
166_chr11,3
166_chr17,5
166_chr2,1
166_chr3,1
166_chr4,6
167_chr1,4
167_chr11,1
167_chr17,1
167_chr2,5
167_chr3,5
167_chr4,6
168_chr1,2
168_chr11,5
