sequenceID,min.log.lambda,max.log.lambda
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,9.14041309490694,9.78434510693661
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr16:46385801-88389383,8.15569049926218,10.2827958522521
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr17:396626-21566608,8.20648608551755,12.3982012472872
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr18:10000-15410898,8.7299703908379,9.80457731143873
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr18:18510898-52059136,9.20684578068107,11.375220313656
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr19:20573415-24631782,8.57275886914731,Inf
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr1:30028082-103863906,7.48254951079172,9.53107587342295
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr21:14338129-42955559,8.62633206932432,9.37607537978573
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr22:16847850-20509431,7.12478972744155,7.87296374688436
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr22:20609431-50364777,6.43965708180379,12.4290311011034
H3K4me3_XJ_immune/samples/bcell/McGill0322/problems/chr15:29209443-82829645,7.79520392469718,10.5091145309055
H3K4me3_XJ_immune/samples/bcell/McGill0322/problems/chr16:46385801-88389383,8.8325099769052,10.3837305235147
H3K4me3_XJ_immune/samples/bcell/McGill0322/problems/chr17:396626-21566608,7.9894048556479,8.45903543381695
H3K4me3_XJ_immune/samples/bcell/McGill0322/problems/chr18:10000-15410898,9.32618820507731,10.9761367988172
H3K4me3_XJ_immune/samples/bcell/McGill0322/problems/chr18:18510898-52059136,8.11421630968005,11.0527260215114
H3K4me3_XJ_immune/samples/bcell/McGill0322/problems/chr19:20573415-24631782,8.67183872065117,9.31116915699765
H3K4me3_XJ_immune/samples/bcell/McGill0322/problems/chr1:30028082-103863906,7.91576399928823,8.60543997396153
H3K4me3_XJ_immune/samples/bcell/McGill0322/problems/chr21:14338129-42955559,6.96273825690389,7.33714088481135
H3K4me3_XJ_immune/samples/bcell/McGill0322/problems/chr22:16847850-20509431,6.38953138594689,8.35279033877227
H3K4me3_XJ_immune/samples/bcell/McGill0322/problems/chr22:20609431-50364777,7.56662151769581,11.9950657017846
H3K4me3_XJ_immune/samples/monocyte/McGill0001/problems/chr15:29209443-82829645,9.0590704063531,11.446017434796
H3K4me3_XJ_immune/samples/monocyte/McGill0001/problems/chr16:46385801-88389383,6.73674026139441,10.4817976423121
H3K4me3_XJ_immune/samples/monocyte/McGill0001/problems/chr17:396626-21566608,8.26784407832642,9.29636311043731
H3K4me3_XJ_immune/samples/monocyte/McGill0001/problems/chr18:10000-15410898,9.35211088131477,10.5652945269609
H3K4me3_XJ_immune/samples/monocyte/McGill0001/problems/chr18:18510898-52059136,8.09245977808581,11.6352214440562
H3K4me3_XJ_immune/samples/monocyte/McGill0001/problems/chr19:20573415-24631782,6.99109431655639,9.69204078335274
