sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,-Inf,2.59450114685109,8,8,4,0,8,8
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,2.59450114685109,6.16045460054324,8,8,4,0,8,8
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,6.16045460054324,7.28289439781117,8,6,4,0,8,6
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,7.28289439781117,7.41763782652453,8,5,4,0,8,5
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,7.41763782652453,7.63577370748599,8,5,4,1,8,6
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,7.63577370748599,7.97839386851461,8,5,4,1,8,6
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,7.97839386851461,8.30363759324475,8,5,4,1,8,6
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,8.30363759324475,8.58129171457451,8,5,4,2,8,7
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,8.58129171457451,8.89827617893596,8,4,4,2,8,6
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,8.89827617893596,9.09640560353673,8,2,4,2,8,4
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,9.09640560353673,9.12828651180012,8,2,4,2,8,4
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,9.12828651180012,9.13669424261228,8,2,4,2,8,4
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,9.13669424261228,9.1404130951826,8,2,4,2,8,4
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,9.1404130951826,9.14235505219916,8,1,4,2,8,3
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,9.14235505219916,9.14616173208813,8,1,4,2,8,3
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,9.14616173208813,9.16283554820251,8,1,4,2,8,3
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,9.16283554820251,9.19671574975947,8,1,4,2,8,3
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr15:29209443-82829645,9.19671574975947,9.23865829353246,8,1,4,2,8,3
