sequenceID,labelStart,labelEnd,annotation,max.changes,min.changes,color,possible.fn,possible.fp
213_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
333_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
393_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
148_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
402_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
521_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
590_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
342_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
195_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
326_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
550_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
363_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
473_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
313_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
561_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
553_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
84_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
180_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
52_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
388_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
185_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
224_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
487_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
493_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
547_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
294_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
394_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
368_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
380_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
548_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
297_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
588_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
410_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
227_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
192_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
362_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
317_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
351_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
60_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
349_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
420_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
17_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
89_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
546_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
544_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
183_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
522_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
545_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
254_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
412_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
190_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
513_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
385_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
309_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
475_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
491_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
86_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
83_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
110_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
146_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
82_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
65_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
76_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
184_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
151_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
116_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
73_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
384_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
58_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
203_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
152_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
156_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
222_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
138_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
35_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
107_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
135_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
320_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
41_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
538_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
396_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
298_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
520_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
533_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
483_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
485_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
