sequenceID,fold
100_chr1,1
100_chr11,3
100_chr17,9
100_chr2,12
100_chr3,16
100_chr4,17
101_chr1,1
101_chr11,3
101_chr17,9
101_chr2,12
101_chr3,16
101_chr4,17
102_chr1,1
102_chr11,3
102_chr17,9
102_chr2,12
102_chr3,16
102_chr4,17
103_chr1,1
103_chr11,3
103_chr17,9
103_chr2,12
103_chr22,15
103_chr3,16
103_chr4,17
103_chrX,23
104_chr1,1
104_chr11,3
104_chr17,9
104_chr2,12
104_chr3,16
104_chr4,17
105_chr1,1
105_chr11,3
105_chr17,9
105_chr2,12
105_chr3,16
105_chr4,17
106_chr1,1
106_chr11,3
106_chr14,6
106_chr16,8
106_chr17,9
106_chr3,16
106_chr4,17
106_chr5,18
106_chr6,19
106_chr8,21
106_chr9,22
107_chr1,1
107_chr11,3
107_chr17,9
107_chr2,12
107_chr3,16
107_chr4,17
108_chr1,1
108_chr11,3
108_chr17,9
108_chr2,12
108_chr3,16
108_chr4,17
109_chr1,1
109_chr11,3
109_chr17,9
109_chr2,12
109_chr3,16
109_chr4,17
109_chr8,21
10_chr1,1
10_chr11,3
10_chr17,9
10_chr2,12
10_chr3,16
10_chr4,17
110_chr1,1
110_chr11,3
110_chr17,9
110_chr2,12
110_chr3,16
110_chr4,17
111_chr1,1
111_chr11,3
111_chr17,9
111_chr2,12
111_chr3,16
111_chr4,17
112_chr1,1
112_chr11,3
112_chr17,9
112_chr2,12
112_chr3,16
112_chr4,17
113_chr1,1
113_chr10,2
113_chr11,3
113_chr13,5
113_chr17,9
113_chr2,12
113_chr3,16
113_chr4,17
113_chr6,19
113_chr7,20
113_chr9,22
114_chr1,1
114_chr11,3
114_chr17,9
114_chr2,12
114_chr3,16
114_chr4,17
115_chr1,1
115_chr11,3
115_chr17,9
115_chr2,12
115_chr3,16
115_chr4,17
116_chr1,1
116_chr11,3
116_chr14,6
116_chr17,9
116_chr2,12
116_chr3,16
116_chr4,17
116_chrX,23
117_chr1,1
117_chr11,3
117_chr17,9
117_chr2,12
117_chr3,16
117_chr4,17
118_chr1,1
118_chr11,3
118_chr17,9
118_chr3,16
118_chr4,17
119_chr1,1
119_chr11,3
119_chr17,9
119_chr2,12
119_chr3,16
119_chr4,17
11_chr1,1
11_chr11,3
11_chr14,6
11_chr16,8
11_chr17,9
11_chr2,12
11_chr21,14
11_chr3,16
11_chr4,17
11_chr7,20
11_chr9,22
120_chr1,1
120_chr11,3
120_chr17,9
120_chr2,12
120_chr3,16
120_chr4,17
121_chr1,1
121_chr11,3
121_chr17,9
121_chr2,12
121_chr3,16
121_chr4,17
122_chr1,1
122_chr11,3
122_chr17,9
122_chr2,12
122_chr3,16
122_chr4,17
123_chr1,1
123_chr11,3
123_chr12,4
123_chr14,6
123_chr16,8
123_chr17,9
123_chr19,11
123_chr2,12
123_chr3,16
123_chr4,17
123_chr7,20
123_chrX,23
124_chr1,1
124_chr11,3
124_chr17,9
124_chr2,12
124_chr3,16
124_chr4,17
125_chr1,1
125_chr11,3
125_chr17,9
125_chr2,12
125_chr3,16
125_chr4,17
126_chr1,1
126_chr11,3
126_chr17,9
126_chr2,12
126_chr3,16
126_chr4,17
127_chr1,1
127_chr11,3
127_chr17,9
127_chr2,12
127_chr3,16
127_chr4,17
128_chr1,1
128_chr11,3
128_chr12,4
128_chr17,9
128_chr2,12
128_chr3,16
128_chr4,17
128_chr6,19
129_chr1,1
129_chr11,3
129_chr17,9
129_chr2,12
129_chr3,16
129_chr4,17
129_chr9,22
12_chr1,1
12_chr11,3
12_chr14,6
12_chr17,9
12_chr2,12
12_chr22,15
12_chr3,16
12_chr4,17
12_chr6,19
12_chrX,23
130_chr1,1
130_chr11,3
130_chr17,9
130_chr2,12
130_chr3,16
130_chr4,17
131_chr1,1
131_chr11,3
131_chr17,9
131_chr2,12
131_chr3,16
131_chr4,17
132_chr1,1
132_chr11,3
132_chr17,9
132_chr2,12
132_chr3,16
132_chr4,17
133_chr1,1
133_chr11,3
133_chr2,12
133_chr3,16
133_chr4,17
134_chr1,1
134_chr11,3
134_chr17,9
134_chr2,12
134_chr3,16
134_chr4,17
135_chr1,1
135_chr11,3
135_chr17,9
135_chr2,12
135_chr3,16
135_chr4,17
136_chr1,1
136_chr11,3
136_chr17,9
136_chr2,12
136_chr3,16
136_chr4,17
137_chr1,1
137_chr11,3
137_chr17,9
137_chr2,12
137_chr3,16
137_chr4,17
138_chr1,1
138_chr11,3
138_chr17,9
138_chr2,12
138_chr3,16
138_chr4,17
139_chr1,1
139_chr11,3
139_chr17,9
139_chr2,12
139_chr22,15
139_chr3,16
139_chr4,17
139_chr7,20
139_chr9,22
13_chr1,1
13_chr11,3
13_chr17,9
13_chr2,12
13_chr3,16
13_chr4,17
140_chr1,1
140_chr11,3
140_chr17,9
140_chr2,12
140_chr3,16
140_chr4,17
141_chr1,1
141_chr11,3
141_chr17,9
141_chr2,12
141_chr3,16
141_chr4,17
142_chr1,1
142_chr11,3
142_chr17,9
142_chr2,12
142_chr3,16
142_chr4,17
143_chr1,1
143_chr11,3
143_chr17,9
143_chr2,12
143_chr3,16
143_chr4,17
144_chr1,1
144_chr11,3
144_chr17,9
144_chr2,12
144_chr3,16
144_chr4,17
145_chr1,1
145_chr11,3
145_chr12,4
145_chr17,9
145_chr19,11
145_chr2,12
145_chr3,16
145_chr4,17
145_chr6,19
145_chr7,20
146_chr1,1
146_chr11,3
146_chr17,9
146_chr2,12
146_chr3,16
